id,word,stack,description,example
1,!,( u,n a-addr -- ),
2,#,( ud1,d1 -- ud2,
3,#>,( ud,d -- c-addr len ) for type,
4,#S,( ud1,d1 -- 0 0 ) buffer,
5,' name,( - - a-addr ),Finds name in the dictionary; gives back its executable address.,
6,(create) name,( - - ),Names a location; space may be allocated. FIG-style.,
7,*,( u1,n1 u2,
8,*/,( n1 n2 n3 -- n4 ),n1 * n2 / n3 = n4,
9,*/mod,( n1 n2 n3 -- n4 n5 ),n1 * n2 / n3 = n5 remainder n4,
10,+,( u1,n1 u2,
11,+!,( u,n a-addr -- ),
12,+loop,( u,n - - ),
13,",",( u,n -- ),
14,-,( u1,n1 u2,
15,-roll,( xu-1 ... x0 xu u -- xu xu-1 ... x0 ),Reverse rotation of the top of the stack.,
16,-rot,( x1 x2 x3 -- x3 x1 x2 ),,
17,.,( n -- ),Print single number,
18,"."" Hello""",( - - ),Compiles a string and prints it when executed.,
19,.digit,( u -- char ),Converts a digit to a char,
20,.s,( many -- many ),"Prints stack contents, signed",
21,/,( n1 n2 -- n3 ),n1 / n2 = n3,
22,/mod,( n1 n2 -- n3 n4 ),n1 / n2 = n4 remainder n3,
23,0-foldable,( -- ),Current word becomes foldable with zero constants,
24,0<,( n -- flag ),Negative ?,
25,0<>,( x -- flag ),,
26,0=,( x -- flag ),,
27,1+,( u1,n1 -- u2,
28,1-,( u1,n1 -- u2,
29,1-foldable,( -- ),Current word becomes foldable with one constants,
30,12bitencoding,( x -- x false,bitmask true ),
31,2!,( ud,d a-addr -- ),
32,2*,( n1 -- n2 ),Arithmetric left-shift,
33,2+,( u1,n1 -- u2,
34,2-,( u1,n1 -- u2,
35,2-foldable,( -- ),Current word becomes foldable with two constants,
36,2-rot,( x1 x2 x3 x4 x5 x6 -- x5 x6 x1 x2 x3 x4 ),,
37,2/,( n1 -- n2 ),Arithmetric right-shift,
38,2>r,( x1 x2 -- ),(R: -- x1 x2 ),
39,2@,( a-addr -- ud,d ),
40,2constant name,( ud,d - - ),
41,2drop,( x1 x2 -- ),,
42,2dup,( x1 x2 -- x1 x2 x1 x2 ),,
43,2nip,( x1 x2 x3 x4 -- x3 x4 ),,
44,2over,( x1 x2 x3 x4 -- x1 x2 x3 x4 x1 x2 ),,
45,2r>,( -- x1 x2 ),(R: x1 x2 -- ),
46,2r@,( -- x1 x2 ),(R: x1 x2 -- x1 x2 ),
47,2rdrop,( -- ),(R: x1 x2 -- ),
48,2rot,( x1 x2 x3 x4 x5 x6 -- x3 x4 x5 x6 x1 x2 ),,
49,2swap,( x1 x2 x3 x4 -- x3 x4 x1 x2 ),,
50,2tuck,( x1 x2 x3 x4 -- x3 x4 x1 x2 x3 x4 ),,
51,2variable name,( ud,d - - ),
52,3-foldable,( -- ),Current word becomes foldable with 3 constants,
53,4-foldable,( - - ),Foldable with four constant inputs; applies to d+ d- 2swap.,
54,5-foldable,( - - ),Foldable with five constant inputs.,
55,6-foldable,( - - ),Foldable with six constant inputs.,
56,7-foldable,( -- ),Current word becomes foldable with 7 constants,
57,: name,( - - ),Opens a new definition.,
58,;,( -- ),Finishes new definition,
59,<,( n1 n2 -- flag ),,
60,<#,( -- ),Prepare pictured number output buffer,
61,<=,( n1 n2 -- flag ),Signed comparisons,
62,<>,( x1 x2 -- flag ),,
63,<builds,( - - ),Makes a dictionary header and reserves space for a special call.,
64,=,( x1 x2 -- flag ),,
65,>,( n1 n2 -- flag ),,
66,"><,",( u,n -- ),
67,>=,( n1 n2 -- flag ),,
68,>in,( -- addr ),Variable with current offset into source,
69,>r,( x -- ),(R: -- x ),
70,?do,( limit index - - ),Begins a loop only if index is not equal to limit.,
71,?dup,( x -- 0,x x ),
72,?of,( n flag - - ),Flag-of; runs up to endof when the flag is true.,
73,@,( a-addr -- u,n ),
74,[,( -- ),Switch to execute state,
75,['] name,( - - a-addr ),Tick that compiles the executable address of the found word as a literal.,
76,[char] *,( - - char ),Compiles the code of the following character when executed.,
77,],( -- ),Switch to compile state,
78,abs,( n -- u ),Absolute value,
79,accept,( c-addr maxlength -- length ),Read input into a string.,
80,again,( - - ),End of a begin-again infinite loop; jumps back to begin.,
81,align,( -- ),Aligns dictionary pointer,
82,aligned,( c-addr -- a-addr ),Advances to next aligned address,
83,allot,( n -- ),"Tries to advance Dictionary Pointer by n bytes Aborts, if not enough space available",
84,and,( x1 x2 -- x3 ),Bitwise AND,
